Index,Prediction
13,1
15,1
18,0
27,1
30,1
31,0
33,0
34,0
52,0
53,1
64,1
71,1
77,1
94,0
110,1
121,1
125,1
135,1
140,1
145,0
150,0
167,1
171,1
180,0
184,0
185,0
193,1
195,0
197,0
204,0
212,1
230,0
252,1
257,1
264,0
271,1
280,1
290,1
292,0
299,0
300,1
306,1
315,1
316,0
322,1
323,0
326,0
352,1
359,0
367,0
388,0
394,1
403,1
409,1
411,0
412,1
415,1
416,1
439,0
444,0
451,0
458,1
462,0
464,0
466,0
479,1
487,0
491,0
496,0
502,0
512,0
528,1
539,0
545,0
555,1
562,0
565,1
568,0
574,1
622,0
651,0
656,0
671,0
694,1
706,1
722,1
737,1
747,1
753,1
762,0
765,1
799,1
804,0
811,0
839,1
840,1
841,1
843,0
848,0
858,1
863,0
865,1
875,1
880,1
890,0
898,1
933,0
938,1
953,0
965,1
970,1
979,1
1002,0
1007,0
1012,1
1018,0
1042,1
1043,1
1048,0
1054,1
1056,1
1058,0
1065,1
1071,1
1072,1
1075,1
1090,1
1092,1
1095,0
1106,1
1107,1
1115,1
1124,0
1152,0
1158,0
1160,1
1179,1
1193,0
1227,1
1238,0
1256,1
1262,0
1269,0
1279,0
1284,1
1285,0
1294,0
1296,1
1331,1
1339,1
1353,1
1361,1
1374,0
1379,0
1393,1
1422,1
1426,0
1428,0
1455,1
1456,1
1466,1
1476,0
1488,0
1498,0
1503,0
1518,0
1558,0
1570,0
1583,0
1589,0
1593,0
1601,0
1602,1
1609,0
1612,0
1617,0
1624,0
1645,0
1648,0
1652,0
1657,0
1658,0
1668,0
1675,0
1732,0
1743,1
1745,0
1755,0
1766,0
1768,0
1789,0
1808,0
1814,0
1840,0
1848,1
1851,0
1861,0
1863,0
1865,0
1867,1
1868,0
1899,0
1910,0
1911,0
1919,0
1927,0
1949,0
1951,0
1953,0
1954,0
1966,0
1992,0
2023,0
2035,0
2046,0
2047,1
2078,0
2084,0
2085,0
2096,0
2108,1
2120,0
2131,0
2149,0
2154,0
2175,0
2179,1
2182,0
2197,0
2223,0
2241,0
2243,0
2270,0
2275,0
2280,0
2294,0
2299,0
2315,0
2319,0
2345,0
2352,0
2360,1
2365,0
2367,0
2380,0
2385,0
2407,0
2416,0
2421,0
2425,0
2440,0
2443,0
2466,0
2488,0
2494,0
2508,0
2520,0
2531,0
2543,0
2551,0
2554,0
2568,0
2585,0
2592,0
2593,0
2615,0
2620,1
2624,0
2628,0
2631,0
2642,0
2648,0
2652,0
2656,0
2664,0
2677,0
2707,1
2708,0
2743,0
2744,0
2782,0
2792,0
2795,0
2822,0
2852,0
2861,0
2865,0
2869,0
2883,0
2891,0
2899,0
2904,0
2913,0
2925,0
2952,0
2955,0
2974,0
2980,0
2981,0
2992,0
2998,0
3037,0
3038,0
3065,0
3069,0
3076,0
3078,1
3086,0
3092,0
3094,0
3106,0
3118,0
3137,0
3167,0
3169,0
3177,0
3183,0
3200,0
3208,0
3228,0
3232,0
3248,0
3255,0
3263,0
3265,1
3269,0
3295,0
3302,0
3307,1
3327,0
3336,0
3350,0
3366,0
3376,0
3409,0
3425,0
3435,0
3437,0
3443,0
3447,0
3465,0
3474,0
3480,1
3481,0
3492,0
3494,0
3496,0
3499,0
3501,0
3522,0
3530,0
3532,1
3556,0
3558,0
3575,0
3603,0
3604,0
3615,1
3625,0
3626,0
3629,0
3632,0
3636,0
3638,0
3644,0
3660,0
3672,0
3674,0
